id,owner-uid,name,description,category,attribution,periodOfTime,postingFreq,originator,link,downloadCount,viewCount,licenseId,publicationDate,rowsUpdateAt,tags,rowLabel,metadataLanguage,numberColumns,numColumnDescriptions,numTags
qxh8-f4bd,ypwc-5ce7,Health Care Provider Credential Data,"Attention: The secretary of health extended health profession license expiration dates for licenses up for renewal between April 1 and September 30, 2020.  This extension allowed health professionals to focus on patient care and to promote continued patient safety during the COVID-19 outbreak. It also provided for a reduction in economic burden for those providers who could not work.  Health professional licenses that expired on September 30, 2020, and are in the renewal process, will be considered by the department as active until October 23, 2020.
Renewal processing delays may occur in October, due to a high volume of renewals being submitted at the end of September.  Users of Provider Credential Search and our Health Care Provider Credential Data on this site are cautioned about using the Last Issue and Expiration dates reflected until renewal processing can be completed.


The Washington State Department of Health presents this information as a service to the public. True and correct copies of legal disciplinary actions taken after July 1998 are available on our Provider Credential Search site. These records are considered certified by the Department of Health. 

This includes information on health care providers.

Please contact our Customer Service Center at 360-236-4700 for information about actions before July 1998. 
The information on this site comes directly from our database and is updated daily at 10:00 a.m.. This data is a primary source for verification of credentials and is extracted from the primary database at 2:00 a.m. daily.

News releases about disciplinary actions taken against Washington State healthcare providers, agencies or facilities are on the agency's Newsroom webpage.

Disclaimer
The absence of information in the Provider Credential Search system doesn't imply any recommendation, endorsement or guarantee of competence of any healthcare professional. The presence of information in this system doesn't imply a provider isn't competent or qualified to practice. The reader is encouraged to carefully evaluate any information found in this data set.",Health,Washington State Department of Health,,Daily,,https://fortress.wa.gov/doh/providercredentialsearch/,71177,1573902,PUBLIC_DOMAIN,2016-01-25 09:39:10,2021-02-15 10:17:03,"['washington', 'state', 'department', 'health', 'public', 'care', 'provider', 'credential']",Row,,12,0,8
9nnw-c693,6hhm-htpq,Lobbyist Compensation and Expenses by Source,"This dataset contains compensation and expense summary records from the monthly reports of lobbying activity. One record is included for each client that paid compensation or incurred expenses during the filing period. If the lobbyist firm themselves incurred any expenses not reimbursed by a client, a record is included summarizing the lobbyist firm's expenses. If a lobbyist reported no compensation or expenses on the report, no records will be in this dataset. Records are included for a period of ten years, beginning in January, 2016. The date is determined as the filing period of the report, not the date received. Records are included for the full year so for example, all 2017 records will be included until the entire year 2017 falls outside the 10 year time span.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,2070,174200,PUBLIC_DOMAIN,2018-03-07 06:32:11,2021-02-15 14:41:13,"['political finance', 'elections', 'contributions', 'campaign', 'political committee', 'disclosure']",Lobbyist/client monthly report,,28,28,6
we9k-a58y,ftbw-szd3,Vehicle Battery Registration,This dataset will be used for entities to register as venicle battery recyclers with the Washington State Department of Ecology.,Natural Resources & Environment,,,,,,1574,158462,,2016-02-12 10:22:51,2016-02-12 10:17:31,"['car battery', 'vehicle battery registration']",Row,,20,10,2
tx5i-i2ja,qav9-tahu,"WAOFM - Census - Population and Housing, 2000 and 2010",Population and housing information extracted from decennial census Public Law 94-171 redistricting summary files for Washington state for years 2000 and 2010.,Demographics,"Washington State Office of Financial Management, Forecasting Division",,,,http://www.ofm.wa.gov/pop/census2010/default.asp,3752,122528,PUBLIC_DOMAIN,2012-05-04 08:49:17,2012-05-04 08:49:07,"['wa', 'washington', 'ofm', 'state', 'county', 'city', 'population', 'housing', 'census', '2000', '2010']",,,36,0,11
m8qx-ubtq,54vy-b9jn,L&I Contractor License Data - General,"State of Washington, Labor & Industries contractor license and registration data",Labor,Labor & Industries,,,,http://www.lni.wa.gov/TradesLicensing/Contractors/HireCon/default.asp,339415,48110,PUBLIC_DOMAIN,2015-10-30 09:56:34,2021-02-15 12:23:25,"['l&i', 'labor & industries', 'contractor', 'licenses']",L&I Contractor Licensing Data,,23,0,4
aug9-4a7g,eagg-6py7,WA Tax Exemptions - Potential Eligibility by Make/Model Excluding Vehicle Price Criteria,"This list is based only on vehicle description. To determine eligibility, price must be considered. <br /><br />Only vehicles meeting the requirements for clean alternative fuel and electric-only range are listed (per RCW 82.08.809 and RCW 82.12.809). <br /><br />Sales or leases must occur on or after 8/1/2019, and meet the purchase price requirements to be eligible for the sales and use tax exemptions.",Transportation,Department of Licensing,"Data includes vehicle models published through January 31, 2021 by EPA and DOE that may be eligible for a tax exemption.  The price or lease agreement must be evaluated also to determine eligibility.",Monthly,,,1289,40220,,2019-07-25 12:58:39,2021-02-11 14:54:47,"['ev', 'electric vehicle', 'hybrid', 'phev', 'bev', 'plug-in', 'alternative fuel', 'tax exemption', 'hb 2042', 'esshb 2042', 'nhtsa', 'sales tax', 'use tax', 'rao_open_data', 'dol_open_data']",vehicle model,,4,4,15
tijg-9zyp,6hhm-htpq,Expenditures by Candidates and Political Committees,"This dataset contains expenditures made by Washington State Candidates and Political Committees for the last 10 years as reported to the PDC on forms C3, C4, Schedule C and their electronic filing equivalents.

In-kind contributions are included in this data set as they are considered as both a contribution and expenditure. In-kind contributions are also included in the data set ""Contributions to Candidates and Political Committees""

For candidates, the number of years is determined by the year of the election, not necessarily the year the expenditure was reported. For political committees, the number of years is determined by the calendar year of the reporting period.

Candidates and political committees choosing to file under ""mini reporting"" are not included in this dataset. See WAC 390-16-105 for information regarding eligibility.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See
RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,3644,21381,SEE_TERMS_OF_USE,2021-01-12 15:44:32,2021-02-15 14:30:24,"['political finance', 'elections', 'expenditures', 'campaign', 'political committee']",Expenditure by a campaign or committee,,29,29,5
kv7h-kjye,6hhm-htpq,Contributions to Candidates and Political Committees,"This dataset contains cash and in-kind contributions, (including unpaid loans) made to Washington State Candidates and Political Committees for the last 10 years as reported to the PDC on forms C3, C4, Schedule C and their electronic filing equivalents. It does not include loans which have been paid or forgiven, pledges or any expenditures.

For candidates, the number of years is determined by the year of the election, not necessarily the year the contribution was reported. For political committees, the number of years is determined by the calendar year of the reporting period.

Candidates and political committees choosing to file under ""mini reporting"" are not included in this dataset. See WAC 390-16-105 for information regarding eligibility.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information political finance disclosure requirements.

CONDITION OF RELEASE: This publication constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See
RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://pdc.wa.gov,8376,17056,PUBLIC_DOMAIN,2021-01-12 16:44:27,2021-02-15 14:50:25,"['political finance', 'elections', 'contributions', 'campaign', 'political committee']",Cash or in-kind contribution or correction,,36,36,5
auvb-4rvk,h2p6-jrpv,WDFW-Coded Wire Tag Fish Recoveries,New data (unverified) within this dataset is preliminary and subject to change per the verification process.,Natural Resources & Environment,WDFW,,,,,2849,15930,,2014-12-30 11:12:18,2021-02-15 05:56:32,"['wdfw', 'salmon', 'cwt']",,,43,39,3
gpri-47xz,f74g-etqg,Attorney General Consumer Complaints,Complaint data from consumer complaints filed with the Consumer Protection Division.  The existence of a complaint is not evidence of wrongdoing.,Consumer Protection,Washington State Attorney General's Office Consumer Protection Division,,Daily,,,4527,14648,,2016-08-08 15:17:44,2021-02-14 19:02:23,"['washington state attorney general', 'consumer complaints', 'consumer issues', 'top consumer issues']",Complaint,,20,3,4
